Date,Open,High,Low,Close,Adj Close,Volume,US Overdose Deaths
2022-03-17,231.72000122070312,236.57000732421875,231.22000122070312,235.8600006103516,221.14517211914065,3262300,3
2022-03-18,234.91000366210935,236.3999938964844,232.75,236.25,221.5108337402344,7617100,7
2022-03-21,237.07000732421875,240.32000732421875,234.72999572753903,236.32000732421875,221.57647705078125,2385200,5
2022-03-22,236.32000732421875,237.5200042724609,234.5399932861328,236.47000122070312,221.71710205078125,2212200,1
2022-03-23,237.2899932861328,239.3800048828125,234.0399932861328,234.17999267578125,219.5699920654297,2533100,5
2022-03-24,235.8000030517578,237.8500061035156,234.0,236.8699951171875,222.09214782714844,2349000,2
2022-03-25,236.8699951171875,239.4900054931641,236.2100067138672,238.7899932861328,223.89236450195312,1424500,3
2022-03-29,241.66000366210935,242.6100006103516,238.6100006103516,241.5399932861328,226.4707946777344,2230600,4
2022-03-30,243.57000732421875,244.72999572753903,242.0200042724609,242.57000732421875,227.43653869628903,2593300,4
2022-03-31,244.17999267578125,245.47999572753903,241.67999267578125,241.82000732421875,226.7333221435547,3102800,6
2022-04-01,243.02999877929688,243.9499969482422,240.72999572753903,243.1199951171875,227.9522399902344,1883900,7
2022-04-04,242.83999633789065,246.4499969482422,242.6499938964844,244.8699951171875,229.5930633544922,3518800,5
2022-04-05,243.7400054931641,248.75,243.7400054931641,244.55999755859372,229.30239868164065,2180800,6
2022-04-06,244.8500061035156,251.4600067138672,244.8500061035156,249.92999267578125,234.33737182617188,3869000,6
2022-04-07,249.1999969482422,252.72999572753903,249.0200042724609,251.63999938964844,235.940673828125,2674400,5
2022-04-08,251.52999877929688,253.88999938964844,250.5399932861328,252.0200042724609,236.2969512939453,2745800,3
2022-04-11,253.6000061035156,258.45001220703125,250.1499938964844,250.8699951171875,235.2187347412109,2975200,5
2022-04-13,251.13999938964844,253.97000122070312,249.7700042724609,253.50999450683597,237.6940155029297,2402800,4
2022-04-14,254.3999938964844,257.57000732421875,253.6499938964844,254.0200042724609,238.1721954345703,2861800,1
2022-04-18,252.4900054931641,255.38999938964844,251.1499938964844,251.92999267578125,236.2125701904297,3615500,6
2022-04-19,252.4900054931641,255.72999572753903,250.3500061035156,253.3699951171875,237.562744140625,2355100,2
2022-04-20,254.07000732421875,256.8999938964844,253.5,255.3800048828125,239.4473571777344,1888100,7
2022-04-21,256.4100036621094,258.3900146484375,254.9499969482422,255.4600067138672,239.5223693847656,2117300,2
2022-04-22,254.1000061035156,255.8999938964844,250.05999755859372,250.3500061035156,234.7311553955078,2617800,3
2022-04-25,251.00999450683597,252.6499938964844,247.91000366210935,252.1699981689453,236.43760681152344,2271000,6
2022-04-26,250.3000030517578,253.0,249.72000122070312,249.8699951171875,234.28109741210935,3306000,3
2022-04-27,249.0399932861328,252.0200042724609,246.44000244140625,248.7899932861328,233.2684631347656,2973500,2
2022-04-28,235.72999572753903,242.91000366210935,231.1499938964844,238.1300048828125,223.2735290527344,6609500,5
2022-04-29,236.5,240.47999572753903,232.7400054931641,233.19000244140625,218.6417388916016,4029300,5
2022-05-02,233.3699951171875,234.0500030517578,227.32000732421875,230.9199981689453,216.51336669921875,4154800,6
2022-05-03,233.75,234.19000244140625,229.6000061035156,232.19000244140625,217.70411682128903,2443800,4
2022-05-04,232.57000732421875,237.1100006103516,231.3999938964844,236.1000061035156,221.3702087402344,2494900,3
2022-05-05,235.5,238.83999633789065,232.2400054931641,234.3500061035156,219.72938537597656,3357100,5
2022-05-06,231.75999450683597,237.4600067138672,231.75,236.5,221.7452545166016,4682100,4
2022-05-09,236.5800018310547,242.77999877929688,234.5399932861328,239.2400054931641,224.31431579589844,4376300,1
2022-05-10,242.2100067138672,244.41000366210935,240.47000122070312,240.7100067138672,225.69259643554688,4234800,5
2022-05-11,240.3600006103516,243.3800048828125,239.2100067138672,240.63999938964844,225.626953125,3411700,1
2022-05-12,240.05999755859372,244.83999633789065,239.0500030517578,244.72000122070312,229.452392578125,3733300,5
2022-05-13,244.63999938964844,245.0,241.2899932861328,243.3999938964844,228.2147674560547,2631900,4
2022-05-16,241.2400054931641,245.1100006103516,241.16000366210935,243.8699951171875,230.49253845214844,2414500,4
2022-05-17,245.13999938964844,246.22000122070312,239.25999450683597,245.3500061035156,231.891357421875,2344100,1
